id,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage,engine,power,new_price,Brand,Model
122,Kolkata,2018,10250,Diesel,Manual,First,5,10.95,22,1582,126.2,14.44,hyundai,verna
123,Pune,2011,43874,Petrol,Manual,First,5,2.45,18.9,998,67.1,,maruti,wagon
124,Coimbatore,2017,32684,Petrol,Automatic,First,4,3.23,21.9,624,37.48,,tata,nano
125,Kolkata,2014,42000,Diesel,Manual,First,8,7.75,12.05,2179,120,,mahindra,scorpio
126,Kolkata,2009,28352,Petrol,Automatic,First,5,9.35,11.7,1796,178,,mercedes-benz,new
127,Pune,2013,89900,CNG,Manual,First,5,3.25,26.6,998,58.16,,maruti,wagon
128,Bangalore,2007,47700,Petrol,Manual,Second,5,5.25,10.8,2354,152,,honda,cr-v
129,Pune,2015,55000,Diesel,Automatic,First,5,7.25,21.21,1498,103.2,,volkswagen,vento
130,Kochi,2017,44285,Petrol,Manual,First,5,7.47,20.73,1373,91.1,,maruti,ciaz
131,Jaipur,2016,54000,Diesel,Automatic,First,7,13.25,16,2179,140,,mahindra,xuv500
132,Coimbatore,2016,30232,Petrol,Manual,First,5,5.81,21.1,1197,85.8,,maruti,ritz
133,Hyderabad,2014,88500,Petrol,Manual,First,5,2.6,24.07,998,67.1,4.53,maruti,alto
134,Kolkata,2017,13372,Petrol,Automatic,First,2,54,19,2996,362.07,95.04,mercedes-benz,slc
135,Kochi,2019,12645,Petrol,Automatic,First,5,11.5,17,1591,121.3,13.49,hyundai,verna
136,Chennai,2010,94385,Petrol,Manual,Second,5,1.6,19.7,796,46.3,,maruti,alto
137,Coimbatore,2015,31821,Diesel,Automatic,First,5,17.22,20.58,1995,143,,bmw,1
138,Mumbai,2015,12000,Petrol,Automatic,First,5,6,19,1199,88.7,,honda,jazz
139,Delhi,2012,88578,Petrol,Manual,First,5,3.95,13.5,1799,130,,honda,civic
140,Kochi,2014,44965,Diesel,Automatic,First,5,17.95,19.27,2143,170,,mercedes-benz,new
141,Kolkata,2014,45044,Diesel,Manual,First,5,3.7,25.8,1498,98.6,,honda,amaze
142,Kochi,2016,34204,Petrol,Manual,First,5,5.43,22,1197,81.8,,maruti,swift
143,Kochi,2008,80759,Petrol,Manual,Third,5,1.67,17,1086,,,hyundai,santro
144,Coimbatore,2012,91235,Diesel,Manual,First,7,13.49,11.5,2982,171,,toyota,fortuner
145,Pune,2014,38800,Petrol,Manual,First,5,2.85,18.6,1199,76.8,,chevrolet,beat
146,Chennai,2013,83000,Diesel,Manual,First,5,4.75,21.14,1498,103.52,,skoda,rapid
147,Kochi,2018,41283,Petrol,Manual,First,5,9.9,20.73,1373,91.1,,maruti,ciaz
148,Mumbai,2013,23000,Petrol,Automatic,First,4,37,11.05,2894,444,128,audi,rs5
149,Mumbai,2014,48000,Diesel,Automatic,First,5,26.5,21.76,1995,190,60.88,bmw,3
150,Coimbatore,2015,48214,Diesel,Automatic,First,5,23.32,17.11,1968,174.33,,audi,a4
151,Chennai,2016,35000,Diesel,Manual,First,5,6.25,22.9,1248,74,,maruti,swift
152,Kolkata,2010,35277,Petrol,Automatic,First,5,30,7.81,5461,362.9,,mercedes-benz,s
153,Coimbatore,2016,54620,Diesel,Automatic,First,5,9.86,21.66,1498,103.52,,skoda,rapid
154,Pune,2012,136997,Diesel,Automatic,First,5,8.5,17.2,1968,138.1,,skoda,superb
155,Kochi,2019,14322,Petrol,Manual,First,5,4.23,21.1,814,55.2,,hyundai,eon
156,Jaipur,2012,65634,Diesel,Manual,First,5,3.5,22.07,1199,73.9,,volkswagen,polo
157,Kolkata,2016,6000,Petrol,Manual,First,5,2.5,20.63,1198,67.06,,datsun,go
158,Kolkata,2013,33280,Petrol,Manual,First,5,2.39,19.4,1198,86.8,,honda,brio
159,Delhi,2013,29000,Petrol,Automatic,First,5,11.25,14.8,1595,120.7,,mercedes-benz,b
160,Kochi,2015,42831,Diesel,Manual,First,5,7.11,26,1498,98.6,,honda,city
161,Ahmedabad,2016,90000,Diesel,Manual,First,7,10.9,12.99,2494,100.6,,toyota,innova
162,Ahmedabad,2017,24005,Petrol,Manual,First,5,6.2,20.4,1197,81.8,,maruti,swift
163,Mumbai,2012,32792,Diesel,Manual,First,7,7.9,15.1,2179,140,,mahindra,xuv500
164,Kochi,2014,147898,Diesel,Manual,First,5,4.42,22.7,1498,89.84,,ford,ecosport
165,Mumbai,2012,131765,Diesel,Manual,First,7,13.5,13,2982,168.5,,toyota,fortuner
166,Chennai,2013,65000,Diesel,Automatic,First,5,6.25,21.5,1498,108.5,,volkswagen,vento
167,Jaipur,2010,66123,Diesel,Manual,Second,5,2.1,20,1399,68,,ford,figo
168,Mumbai,2015,41000,Diesel,Automatic,First,5,45,15.3,2993,258,,bmw,x5
169,Coimbatore,2017,23550,Diesel,Automatic,First,5,33.66,19.27,2143,167.62,,mercedes-benz,new
170,Bangalore,2012,45000,Petrol,Manual,Second,5,3.65,19.4,1198,86.8,,honda,brio
171,Delhi,2013,60000,Petrol,Manual,First,5,2.75,20.36,1197,78.9,,hyundai,i10
172,Bangalore,2016,44414,Diesel,Automatic,First,5,42.5,17.9,2143,170,,mercedes-benz,glc
173,Kolkata,2019,1000,Petrol,Manual,First,5,6.5,18.9,1197,81.86,7.39,hyundai,grand
174,Mumbai,2012,62500,Diesel,Automatic,Second,5,19,17.68,1968,174.33,,audi,a6
175,Mumbai,2013,21000,Petrol,Automatic,Second,5,4.45,14.4,1598,103.6,,volkswagen,vento
176,Jaipur,2017,8525,Diesel,Automatic,Second,5,23,16.6,1998,112,,mini,countryman
177,Bangalore,2014,29000,Diesel,Manual,First,5,8.35,22.54,1396,88.73,,hyundai,i20
178,Mumbai,2014,40000,Diesel,Automatic,First,5,22.95,17.68,1968,174.33,,audi,a6
179,Jaipur,2012,88000,Diesel,Manual,First,5,1.5,25.44,936,57.6,,chevrolet,beat
180,Kochi,2012,53537,Petrol,Automatic,First,5,6.89,13.7,1798,157.75,,skoda,superb
181,Chennai,2006,216000,Diesel,Manual,Second,5,1.45,17.8,1399,68,,ford,fiesta
182,Hyderabad,2014,51000,Diesel,Automatic,First,5,33.5,22.48,1995,190,69.47,bmw,5
183,Jaipur,2007,118500,Petrol,Manual,First,5,1.25,12.9,1598,102.5,,chevrolet,optra
184,Hyderabad,2012,63000,Diesel,Manual,First,5,4.2,22.07,1199,73.9,,volkswagen,polo
185,Mumbai,2015,25000,Diesel,Manual,First,8,6.75,19.98,1461,108.5,,renault,lodgy
186,Bangalore,2014,37382,Diesel,Automatic,First,5,32,13,2143,201.1,,mercedes-benz,e-class
187,Kochi,2017,24773,Petrol,Manual,First,5,7.5,21.4,1197,83.1,8.78,maruti,baleno
188,Delhi,2012,62000,Diesel,Manual,First,5,4.6,22.32,1582,126.32,,hyundai,verna
189,Kochi,2017,52340,Petrol,Manual,First,5,4.04,19.81,1086,68.05,,hyundai,i10
190,Kochi,2016,56739,Diesel,Manual,First,7,10.31,15.4,1997,120,,mahindra,scorpio
191,Coimbatore,2018,36091,Diesel,Automatic,First,5,55.76,12.7,2179,187.7,,land,rover
192,Chennai,2010,120000,Diesel,Manual,First,5,2.6,20,1399,68,,ford,figo
193,Mumbai,2016,33000,Diesel,Manual,First,7,8.5,25.47,1248,88.5,12.74,maruti,ertiga
194,Ahmedabad,2007,60006,Petrol,Manual,First,,2.95,,,,,honda,city
195,Kolkata,2014,52000,Diesel,Manual,First,5,3.5,25.8,1498,98.6,,honda,amaze
196,Jaipur,2015,43571,Petrol,Manual,First,5,3.55,20.36,1197,78.9,,hyundai,i10
197,Kolkata,2013,50000,Diesel,Manual,First,5,3.25,25.8,1498,98.6,,honda,amaze
198,Hyderabad,2008,113000,Diesel,Manual,First,5,4.5,17.5,1896,106,,skoda,laura
199,Delhi,2014,90000,Diesel,Manual,First,5,5.35,19.87,1461,83.8,,renault,duster
200,Chennai,2017,29000,Diesel,Manual,Second,7,6.5,17.45,1493,100,10.52,mahindra,nuvosport
201,Mumbai,2016,20000,Diesel,Manual,First,5,9,24.3,1248,88.5,11.98,maruti,vitara
202,Kochi,2016,61012,Petrol,Manual,First,5,6,18.6,1197,81.83,,hyundai,i20
203,Jaipur,2009,87459,Petrol,Manual,First,5,2.75,14.7,1390,85,,skoda,fabia
204,Pune,2010,70500,Petrol,Manual,First,5,1.5,15.64,1193,64.1,,tata,indigo
205,Delhi,2015,64103,Diesel,Automatic,First,5,19.9,15.73,1968,174.33,,audi,q3
206,Mumbai,2014,76000,Petrol,Automatic,First,5,10,14.7,1798,177.5,,skoda,octavia
207,Delhi,2014,104000,Diesel,Manual,First,5,3,23.59,1364,67.06,,toyota,etios
208,Kolkata,2010,42001,Petrol,Manual,First,,2.11,16.1,,,,maruti,swift
209,Kochi,2014,37245,Petrol,Automatic,First,5,11.96,14.8,1595,120.7,,mercedes-benz,b
210,Kolkata,2013,45000,Diesel,Manual,First,5,3.25,27.4,1498,98.6,8.54,honda,amaze
211,Jaipur,2012,117837,Diesel,Manual,Second,5,4.75,22.32,1582,126.32,,hyundai,verna
212,Mumbai,2014,30000,Diesel,Manual,First,5,5.95,20.46,1461,83.8,,renault,duster
213,Delhi,2015,27057,Petrol,Manual,Second,5,8.15,15.29,1591,121.3,,hyundai,creta
214,Mumbai,2016,8500,Petrol,Automatic,First,5,4.22,20.51,998,67,,maruti,wagon
215,Kolkata,2010,30500,Petrol,Automatic,First,5,10.5,11.74,1796,186,,mercedes-benz,new
216,Delhi,2012,56000,Diesel,Automatic,First,5,45,11.8,2967,246.7,,audi,a8
217,Pune,2012,44000,Petrol,Manual,Second,5,2.9,19.81,1086,68.05,,hyundai,i10
218,Mumbai,2017,10500,Petrol,Automatic,First,5,8.9,14.3,1598,103.52,,skoda,rapid
219,Hyderabad,2017,26000,Petrol,Automatic,First,5,26,14.67,1798,177.46,33.58,skoda,superb
220,Coimbatore,2018,25166,Petrol,Manual,First,5,8.22,17.19,1197,81.86,,hyundai,i20
221,Kolkata,2014,64000,Diesel,Manual,Second,5,3.5,25.8,1498,98.6,,honda,amaze
222,Chennai,2004,61000,Petrol,Manual,Second,5,1.25,18.9,998,67.1,,maruti,wagon
223,Hyderabad,2013,107000,Diesel,Manual,First,5,3.7,21.03,1461,65,9.12,mahindra,verito
224,Coimbatore,2018,29161,Diesel,Automatic,First,5,39.41,19.27,2143,167.62,,mercedes-benz,new
225,Kolkata,2013,32000,Petrol,Manual,First,5,2.65,22.5,998,67.04,5.29,maruti,wagon
226,Coimbatore,2015,46173,Diesel,Manual,Second,5,8.92,19.01,1461,108.5,,nissan,terrano
227,Delhi,2013,47000,Diesel,Manual,First,5,4.1,17.8,1248,,,maruti,swift
228,Kochi,2017,26327,Petrol,Automatic,First,4,35.67,16.82,1998,189.08,44.28,mini,cooper
229,Bangalore,2015,70436,Diesel,Manual,First,,3.6,,1498,99,,ford,figo
230,Jaipur,2007,200000,Diesel,Manual,Second,5,0.85,17.2,1396,53.5,,tata,indica
231,Kochi,2016,60813,Petrol,Manual,Second,5,3.32,18.6,1199,76.8,,chevrolet,beat
232,Mumbai,2012,45000,Diesel,Manual,First,5,3.6,22.07,1199,73.9,,volkswagen,polo
233,Hyderabad,2016,64000,Diesel,Manual,First,5,6.8,22.9,1248,74,,maruti,swift
234,Kolkata,2012,41284,Diesel,Manual,First,5,2.5,20,1399,68.05,,ford,figo
235,Kochi,2019,14165,Diesel,Automatic,First,7,19.64,11.36,2755,171.5,20.74,toyota,innova
236,Mumbai,2011,67000,Diesel,Automatic,Second,7,7,11.72,2199,194.3,,hyundai,santa
237,Kolkata,2011,32572,Petrol,Manual,First,5,3.87,17.4,1497,117.3,11.74,honda,city
238,Kochi,2018,14960,Petrol,Manual,First,5,6.27,18.6,1197,81.83,,hyundai,i20
239,Kochi,2015,55980,Diesel,Automatic,First,5,18.12,19.27,2143,167.62,,mercedes-benz,new
240,Mumbai,2013,74000,Diesel,Manual,First,5,2.65,25.44,936,57.6,,chevrolet,beat
241,Kochi,2015,56847,Diesel,Manual,First,5,7.2,22.54,1396,88.73,,hyundai,i20
242,Coimbatore,2015,121374,Diesel,Manual,First,7,14.3,12.99,2494,100.6,,toyota,innova
243,Chennai,2013,52000,Diesel,Manual,First,7,6.9,20.77,1248,88.76,,maruti,ertiga
244,Mumbai,2014,118000,Diesel,Manual,First,7,10.75,12.8,2494,102,,toyota,innova
245,Mumbai,2007,72000,Petrol,Manual,Third,5,0.95,17,1086,,,hyundai,santro
246,Kochi,2016,33915,Petrol,Manual,First,5,8.09,17.8,1497,117.3,,honda,city
247,Ahmedabad,2014,82002,Diesel,Automatic,First,5,18.5,17.05,1995,184,,bmw,x1
248,Mumbai,2017,33000,Diesel,Manual,First,5,4.75,24,1120,70,,hyundai,grand
249,Chennai,2016,34000,Diesel,Manual,First,5,8.45,28.09,1248,88.5,,maruti,ciaz
250,Kolkata,2012,55000,Diesel,Manual,First,5,3.5,20.5,1598,103.6,,skoda,rapid
251,Kochi,2006,160538,Diesel,Manual,First,5,1.8,13.1,1493,82,,hyundai,accent
252,Jaipur,2014,60000,Diesel,Manual,Second,5,3.7,19.91,1498,103.6,,volkswagen,polo
253,Coimbatore,2017,49575,Petrol,Manual,First,5,7.17,18.7,1199,88.7,,honda,jazz
254,Jaipur,2010,83000,Petrol,Manual,First,5,1.75,19.81,1086,68.05,,hyundai,i10
255,Kochi,2018,51346,Diesel,Automatic,First,5,21.99,16.38,1995,183,,hyundai,tucson
256,Pune,2017,43000,Diesel,Manual,First,7,18.65,13.68,2393,147.8,25.52,toyota,innova
257,Jaipur,2011,35000,Petrol,Manual,Third,5,1.85,19.7,796,35,,maruti,omni
258,Coimbatore,2017,27872,Petrol,Manual,Second,5,5.95,20.4,1197,81.8,,maruti,swift
259,Mumbai,2014,16514,Petrol,Manual,First,5,3.75,18.9,1197,82,,hyundai,grand
260,Pune,2012,120000,Diesel,Manual,First,5,3.75,22.9,1248,74,,maruti,swift
261,Hyderabad,2008,143275,Diesel,Manual,First,5,2.6,22,1582,126.2,14.07,hyundai,verna
262,Hyderabad,2006,99000,Petrol,Manual,First,5,1.75,,1086,,,hyundai,santro
263,Mumbai,2010,52000,Petrol,Manual,First,5,2.8,17,1197,80,,hyundai,i20
264,Coimbatore,2017,29819,Diesel,Automatic,First,5,61.29,11.57,2987,254.79,95.13,mercedes-benz,gle
265,Bangalore,2014,57000,Diesel,Manual,Second,5,18,15.8,2148,170,,mercedes-benz,new
266,Hyderabad,2014,88500,Diesel,Manual,First,5,4.35,23.2,1248,73.94,,maruti,ritz
267,Bangalore,2016,28000,Diesel,Manual,First,5,13.75,19.67,1582,126.2,,hyundai,creta
268,Pune,2010,67000,Petrol,Manual,First,5,2,19,998,66.1,,maruti,a-star
269,Delhi,2016,26000,Diesel,Manual,First,5,10,19.64,1461,108.45,,renault,duster
270,Delhi,2010,120000,Diesel,Manual,First,5,1.65,17.8,1248,76,,fiat,grande
271,Coimbatore,2017,51982,Diesel,Automatic,First,5,45.77,16.55,2993,258,,bmw,x3
272,Bangalore,2010,36000,Petrol,Manual,Second,5,3.25,20.36,1197,78.9,,hyundai,i10
273,Pune,2016,47000,Diesel,Manual,First,7,12.8,12.8,2494,102,,toyota,innova
274,Mumbai,2002,60000,Petrol,Manual,Third,5,0.55,17.3,993,60,,maruti,zen
275,Hyderabad,2018,31025,Diesel,Manual,First,5,7.15,28.4,1248,74,,maruti,swift
276,Pune,2013,105000,Diesel,Manual,Second,8,7,12.05,2179,120,,mahindra,scorpio
